[[[ ML2 ]]];Abstraction;Africa;Agro-Ecology;Agro-Forestry;Agro-System;Agronomy;Arid Or Semi-Arid Zone;Cartography And Mapping;Comparative Approach;Complex System;Desertification;Erosion;Farming Practice;Gender;Geography (Social);Information System;integrative Approach;Land Degradation;land Use;landcover;landscape;Maghreb;MODELLING;modelling (Co-);modelling (Complex System);modelling (Conceptual);modelling (Integrated);modelling (Interdisciplinary);monitoring (Socio-Environmental);MULTIDISCIPLINARY;observatory;risk Assessment;Rural Zone;Rural-Urban Linkage;Sahel;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 10 (Sust. Devel. Goal - World Equity);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Social Inclusion;socio-Ecological Scenario;southern Mediterranean;spatial Dynamics;Systems Science;Territorial Transition;territory;Tourism Development;UMR Espace-Dev (Space For Devel.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ FS1 ]]];Altiplano (Bolivia);Andean Plateau;Anthropocene (Epoch);Anthropogenic Impact;Arid Or Semi-Arid Zone;Bolivia;Brazil;Database Engineering;Desertification;Hydrological Monitoring System;Hydrology;Irrigation;Model DEM (Digital Elevation Model);MODELLING;Modelling (Conceptual);Modelling (Hydrological);Multi-Sensor Approach;Multi-Spectral Image;Pakistan;Remote Sensing;Satellite Product;SDG 06 (Sust. Devel. Goal - Water And Sanitation);Socio-Hydrology;UMR Espace-Dev (Space For Devel.);Water Resources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ JCD ]]];Big Data;Climate Change Impacts;computer Science;data Collection;data Conservation;data Dissemination;data Infrastructure;data Interoperability;data Management;data Processing;data Quality Assessment;data Sharing;database Engineering;database Management System (DBMS);desertification;development (Software Architecture);environment;geomatics;GIS (Geogr. Inform. Sys.);Hydrology;hydrosystem;information System;Information Technology (IT);interoperability;IT System Management;metadata;MODELLING;modelling (Hydrological);Modelling (Metadata);MULTIDISCIPLINARY;Niger Country;observatory;On-Demand Service;open Science;open Source;remote Sensing;Sahel;SDG 04 (Sust. Devel. Goal - Education);SDG 13 (Sust. Devel. Goal - Climate);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);semantic Web;Technology Transfer;Theia (Data Services Infrastr. Land Surfaces);Training (Fr: Formation);UMR Espace-Dev (Space For Devel.);Water Resources;Web Portal Devel.;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ CD - ]]];Archipelago;Benin;Biodiversity;Biodiversity (Island);Cartography And Mapping;Climate Change Impacts;Climatology (Hydro);Data (Hydrology);Data Collection;Environment (Island);Fragmentation;Geography (Island);Geohistory;Geomatics;Geomorphometry (Hydro);Geoscience;GIS (Geogr. Inform. Sys.);Hydrology;Impact Assessment (Water);Indicator (Environmental);Island Country;KwaZulu-Natal (South Africa);Landscape;Madagascar;Meteorology (Hydro);Model DEM (Digital Elevation Model);Modelling (Hydrological);Multi-Scale (Spatial);Nissology (Island Science);SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);Simulation (Water Flow);South Africa;UMR Espace-Dev (Space For Devel.);UMR LTHE (Hydrol. Environ. Transfers);Water Management;Water Resources;Watershed (Fr: Bassin Versant);World;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ RD2 ]]];Artisanal Fishery;Biodiversity;Biodiversity (Conservation);Biodiversity (Marine);Cartography And Mapping;Cold-Water Coral;Comoros;Conservation Biology;Conservation Planning;Coral Reef;Crowdsourcing;Data (Acoustics);Data (Environmental, Socio-Ecological);Data (Fisheries);Data (Georeferenced);Data (Satellite);Data Management;Data Mining;Data Quality Assessment;Decision Support Tool;East Africa;Ecology (Landscape);Ecology (Marine);Ecosystem (Marine);Environment (Marine);Expertise (Scientific);Fisheries Management;Fisheries Science (Fr: Halieutique);Geographic Information Science;Geomatics;Geostatistics;Geovisualisation;GIS (Geogr. Inform. Sys.);Habitat (Marine);Image Processing;Indian Ocean;Indicator (Environmental);Information Processing;Landscape;Madagascar;Marine Protected Area (MPA);Mayotte;Metadata;MODELLING;Modelling (Habitat, Ecology);Modelling (Predictive);Mozambique Channel;Multi-Scale (Spatial);Multibeam Sonar Detection;MULTIDISCIPLINARY;Newfoundland And Labrador (Canada);North Atlantic Ocean;Ontology;Open Data;Participatory Mapping;Photogrammetry;Remote Sensing;Remote Sensing VHSR (Very High Spatial Resolution);Satellite Product;SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);Socio-Ecosystem;Sonar;South Western Indian Ocean;Spatial Analysis;Spatial Data Infrastructure (SDI);Spatial Data Quality;Spatial Dynamics;Statistics (Spatial);Sustainability (Fisheries);Sustainability Science;Tanzania;The Reunion Island;Training (Fr: Formation);UAV (Unmanned Aerial Vehicle, Drone);UMR Espace-Dev (Space For Devel.);Volunteered Geographic Information;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ ND ]]];Brazil;Capacity Building;Climate Change Impacts;Climate-Society Interaction;Data (Satellite);Data Analysis;Data Dissemination;Data Integration;Data Interoperability;Data Management;Data Processing;Data Workflow Devel.;Decision Support Tool;Dengue Fever;Ecology (Landscape);Environment;Environment-Society Relations;French Guiana;Geographic Information Science;Geography (Health);Geomatics;GIS (Geogr. Inform. Sys.);Global Change Impact;Impact Assesment (Environment);Indicator (Environmental);Infectious Disease;Integrative Approach;IT Project Management;Land Use;Landscape;Madagascar;Malaria;Mali;Monitoring (Socio-Environmental);Multi-Scale (Spatial And Temporal);MULTIDISCIPLINARY;Observatory;Operational Engineering;Radar;Remote Sensing;Risk (Environmental);Risk (Health);Sci. Administration And Management;SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 04 (Sust. Devel. Goal - Education);SDG 11 (Sust. Devel. Goal - Cities);SDG 13 (Sust. Devel. Goal - Climate);Sensor Observation Service;Socio-Ecosystem;Spatial Data Infrastructure (SDI);Theia (Data Services Infrastr. Land Surfaces);Training (Fr: Formation);UMR Espace-Dev (Space For Devel.);Urban Computing;Vector-Borne Disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ ER ]]];Aggregation (Spatial);Amazon Forest;Big Data;Biostatistics;Brazil;Cartography And Mapping;Classification - Typology;Computer Science;Cross-Border Approach;Data (Environmental, Socio-Ecological);Data (Healthcare);Data (Multimodal);Data (Multisource);Data (Satellite);Data Analysis;Data Clustering;Data Curation;Data Dissemination;Data Heterogeneity;Data Integration;Data Interoperability;Data Management;Data Mining;Data Poor Context;Data Preprocessing;Data Processing;Data Quality Assessment;DATA SCIENCE;Dengue Fever;Disease Incidence (Epidemiology);Environmental Health;Epidemiology;Explainable AI;FAIR (Find, Access, Interoperate, Reuse) Data;French Guiana;Geographic Information Science;Geography (Health);Geolocation;Geomatics;GIS (Geogr. Inform. Sys.);Health Policy;Indicator (Biological);Indicator (Dashboard);Indicator (Environmental);Indicator (Health);Infectious Disease;Information Processing;Information System;Information Technology (IT);Interoperability;Machine Learning (Structural);Malaria;Model (Spatially Explicit);MODELLING;Modelling (Habitat, Ecology);Modelling (Multi-Scale);Modelling (Statistical);Monitoring (Health);Multi-Scale (Spatial And Temporal);Multi-Scale (Spatial);MULTIDISCIPLINARY;Multivariate Data Analysis (MVA);Observatory;OneHealth - EcoHealth;Open Data;Open Science;Open Source;Public Health;R Programming;Radar Altimetry;Remote Sensing;Risk (Health);SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 10 (Sust. Devel. Goal - World Equity);SDG 13 (Sust. Devel. Goal - Climate);South America;Spatial Analysis;Spatial Dynamics;Statistics;Statistics (Spatial);Survey (Design);Territory;Training (Fr: Formation);UMR Espace-Dev (Space For Devel.);Vector-Borne Disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ MPB ]]];Adaptive Management;Altiplano (Bolivia);Amazon Plain;Amazon River;Biodiversity;Biogeochemistry;Bissau Guinea;Brazil;Carbon Cycle;Climate Adaptation;Collective Learning;Conservation Planning;Constraint Programming;  Control And Prevention Strategy;Dam (Hydrology);Data (Environmental, Socio-Ecological);Data (Satellite);Data Heterogeneity;Decision Support Tool;Ecosystem (Aquatic);Environment-Society Relations;Flood (Fr: Crue Ou Inondation);Floodplain;Forecasting;Geomatics;GIS (Geogr. Inform. Sys.);Global Change Impact;Hydrological Basin;Hydrological Monitoring System;Hydrology;Hydrosystem;Indicator (Socio-Environmental);Lake;Limnology;  Model (Agent-Based);Model (Hybrid);Model (Numerical);Model DEM (Digital Elevation Model);MODELLING;Modelling (Agent-Based And Or Individual-Based);Modelling (Companion);Modelling (Conceptual);Modelling (Hydrodynamics);Monitoring (Hydrology);Monitoring (Socio-Environmental);Multi-Agent System;Multi-Scale (Spatial);MULTIDISCIPLINARY;Natural Resource Management;Participatory Mapping;Plankton;Plankton (Phyto);Radar Altimetry;Remote Sensing;Renewable Resource;Resource Use;Sci. Administration And Management;SDG 04 (Sust. Devel. Goal - Education);SDG 06 (Sust. Devel. Goal - Water And Sanitation);SDG 10 (Sust. Devel. Goal - World Equity);SDG 13 (Sust. Devel. Goal - Climate);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Simulation (Water Flow);Sustainability Science;Sustainable Management;UMR Espace-Dev (Space For Devel.);Water Resources;Watershed (Fr: Bassin Versant);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ TC ]]];Algorithmics;Amazon Plain;Brazil;Cartography And Mapping;Climate Change Impacts;Coastal Processes;Data (Multimodal);Data (Multisource);Data (Satellite);Data Analysis;Data Integration;Data Processing;DATA SCIENCE;Decision Support Tool;Deforestation;Dengue Fever;Ecosystem Service;Environment-Society Relations;Environmental Health;Extreme Event;Flood (Fr: Crue Ou Inondation);Floodplain;French Guiana;Geomatics;Geoscience;Hurricane;Impact Assessment (Health);Indian Ocean;Indicator (Environmental);Indicator (Health);Indicator (Socio-Environmental);Madagascar;Malaria;Mangrove;marine Protected Area (MPA);monitoring (Environmental);multi-Scale (Spatial);multi-Sensor Approach;natural Hazard;radar;remote Sensing;risk (Environmental);risk Assessment;SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 04 (Sust. Devel. Goal - Education);SDG 11 (Sust. Devel. Goal - Cities);SDG 13 (Sust. Devel. Goal - Climate);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);sensor Observation Service;socio-Ecosystem;The Reunion Island;Theia (Data Services Infrastr. Land Surfaces);training (Fr: Formation);UMR Espace-Dev (Space For Devel.);vector-Borne Disease;Volcanology;Wetland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[ LBE ]]];Agro-Ecology;Algorithmics;Anthropogenic Impact;Artificial Intelligence;Artificial Neural Network;Automatic Learning;Big Data;Biodiversity;Biodiversity (Anthropogenic Influence);Biodiversity (Conservation);Biodiversity (Functional);Biodiversity (Hotspot);Biodiversity (Island);Biodiversity (Marine);Bioinformatics;Brazil;Business Intelligence (Fr: Informatique Décisionnelle);Cartography And Mapping;Classification - Typology;climate Adaptation;climate Change Impacts;clinical Research Informatics;collective Learning;comparative Approach;complex System;computational Intelligence;computational Sustainability;computer Science;cybersecurity;data (Demography);Data (Environmental, Socio-Ecological);Data (Georeferenced);Data (Healthcare);Data (Missing Data);Data (Multimodal);Data (Multisource);Data (Optical);Data (Personal);Data (Qualitative);Data (Satellite);Data (Sensitive);Data Analysis;Data Anonymisation;Data Assimilation;Data Cleaning;Data Clustering;Data Coding;Data Collection;Data Conservation;Data Curation;Data Discovery;Data Dissemination;Data Driven Approach;Data Fusion;Data Glitch Detection (Fr: Détection D'anomalies);Data Heterogeneity;Data Integration;data Interoperability;data Management;data Management Plan;data Mining;data Preprocessing;data Processing;data Quality Assessment;data Reanalysis;DATA SCIENCE;data Visualization;data Warehouse;data Workflow Devel.;Database Management System (DBMS);Decision Making Theory;Deforestation;Digital Transition;Dimensional Analysis;Discretization;Downscaling (Modelling);Downscaling - Disaggregation (Statistics);E-Learning;Entity Linking (Fr: Annotation Sémantique);Environmental DNA;Environmental Health;Epidemiology;Experimental Validation;Expertise (Engineering);Expertise (Scientific);Extreme Event;Extreme Value Theory;Fact Checking;FAIR (Find, Access, Interoperate, Reuse) Data;Forecasting;Forest Dynamics;GBIF (Global Biodiv. Inform. Facility);Geostatistics;Graph Theory;Impact Assessment (Water);Indicator (Biological);Indicator (Environmental);Information Processing;Information System;Integrative Approach;Knowledge Discovery;Machine - Deep Learning;Machine Learning (Structural);Marine Protected Area (MPA);Mathematics (Applied);MCMC (Markov Chain Monte-Carlo);Medical Image Analysis;Medical Informatics;Metadata;Middle East;Mitigation Measure;Model (Autoregressive);MODELLING;Modelling (Bayesian);Modelling (Calibration);Modelling (Complex System);Modelling (Conceptual);Modelling (Human-In-The-Loop);Modelling (Inferential);Modelling (Integrated);Modelling (Interdisciplinary);Modelling (Mathematical);Modelling (Metadata);Modelling (Multi-Scale);Modelling (Predictive);Modelling (Statistical);Modelling (Stochastic Processes);Modelling (Survival Analysis);Modelling (Validation);Monitoring (Environmental);Monitoring (Socio-Environmental);Monitoring (Statistical);Multi-Scale (Functional);Multi-Scale (Spatial And Temporal);Multi-Scale (Spatial);Multi-Scale (Temporal And Functional);Multi-Sensor Approach;Multi-Spectral Image;MULTIDISCIPLINARY;Multivariate Data Analysis (MVA);Nonparametric Statistics;Ontology;Open Data;Open Science;Open Source;Operational Engineering;Operational Research;Optimal Control (Mathematics);Optimization;Patent Filing (Fr: Dépot De Brevet);Pattern Learning (Statistics);Pattern Recognition;Poverty;Probability Distribution;Probability Theory;Program Optimization;Public Health;Q-Learning;Random Decision Forest;Regression (Functional);Reinforcement Learning;Remote Sensing;Risk Assessment;SDG 01 (Sust. Devel. Goal - Poverty);SDG 02 (Sust. Devel. Goal - Alimentation);SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 06 (Sust. Devel. Goal - Water And Sanitation);SDG 08 (Sust. Devel. Goal - Economic Growth);SDG 11 (Sust. Devel. Goal - Cities);SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);SDG 16 (Sust. Devel. Goal - Society);Semantic Web;Sensor Observation Service;Social Network Analysis;Software Engineering;Spatial Analysis;Spatial Data Quality;Statistics;Statistics (Spatial);Sustainability Science;Sustainable Management;Symbolic Learning;Teaching In Computer Science;Technology Intelligence (Fr: Veille Technol.);Technology Transfer;Text Mining;Time Series;Training (Fr: Formation);Truth Discovery;UMR Espace-Dev (Space For Devel.);Uncertainty Assessment;Urban Computing;Water Quality;Web Of Data;Web Scraping
[[[ RH ]]];Adaptive Management;Algorithmics;Altiplano (Bolivia);Arid Or Semi-Arid Zone;Big Data;Bolivia;Brazil;Cambodia;cartography And Mapping;climate Adaptation;climate Change Impacts;climate-Society Interaction;climatic Forcing;Climatology;Climatology (Hydro);data (Georeferenced);data (Hydrology);data (Missing Data);data (Multisource);data (Satellite);data Analysis;data Assimilation;data Collection;data Driven Approach;data Heterogeneity;data Processing;DATA SCIENCE;decision Support Tool;development (Software Architecture);Drought;dynamical System;environment;FAIR (Find, Access, Interoperate, Reuse) Data;flood (Fr: Crue Ou Inondation);forecasting;geomatics;geomorphometry (Hydro);Geoscience;GIS (Geogr. Inform. Sys.);Hydraulics;hydrography;hydrological Basin;hydrological Monitoring System;Hydrology;hydrometry;hydrosystem;image Processing;impact Assessment (Health);impact Assessment (Water);India;indicator (Environmental);information Processing;integrative Approach;inter-Tropical (Region);interpolation;land Surfaces;matter Transportation (Hydrology);model (Flow Propagation);Model (Numerical);Model (Operational);Model Coupling;Model DEM (Digital Elevation Model);MODELLING;Modelling (Bayesian);Modelling (Hydrodynamics);Modelling (Hydrological);Modelling (Mathematical);Modelling (Multi-Scale);Modelling (Statistical);Modelling (Stochastic Processes);Modelling (Validation);Monitoring (Environmental);Monitoring (Hydrology);Monitoring Network;Multi-Model Coupling (MMC);Multi-Scale (Spatial);Multi-Spectral Image;MULTIDISCIPLINARY;Myanmar (Burma);Natural Hazard;Niger Country;Observatory;Open Science;Operational Research;Particle Filter (Sequential Monte Carlo Method);Patent Filing (Fr: Dépot De Brevet);Radar;Remote Sensing;Remote Sensing VHSR (Very High Spatial Resolution);Resource Use;Risk (Disaster);Risk (Environmental);Risk (Health);Risk Assessment;River;Satellite Product;SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 06 (Sust. Devel. Goal - Water And Sanitation);SDG 11 (Sust. Devel. Goal - Cities);SDG 13 (Sust. Devel. Goal - Climate);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Sediment Transportation (Hydrology);Simulation (Water Flow);Socio-Ecosystem;Socio-Hydrology;Software Engineering;Spatial Analysis;Sustainable Management;Synthetic-Aperture Radar (SAR);UMR Espace-Dev (Space For Devel.);Uncertainty Assessment;Water Resources;Watershed (Fr: Bassin Versant);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
