Louise BROUSSEAU; Agro-Ecology;Amazon Forest;Arecaceae (Palms);Biodiversity;Biodiversity (Anthropogenic Influence);Biodiversity (Hotspot);Biogeography;Bioinformatics;Biology (Computational);Biology (Evolutionary);Biostatistics;Climate Adaptation;Climate Change Impacts;Computer Science;Data (Genetics);Data Management;Data Management Plan;Data Mining;DATA SCIENCE;DNA Sequencing;Domestication;Ecology (Evolutionary);Ecology (Forest);Ecology (Landscape);Ecology (Terrestrial);Evolutionary History (Plants);Exome Capture;French Guiana;Genome Sequencing;Genomics;Genomics (Evolutive);High Performance Computing (HPC);High Throughput Computing (HTC);Historical Genomics;Integrative Approach;Local Adaptation;Modelling (Bayesian);Modelling (Inferential);Modelling (Statistical);Multi-Scale (Spatial);MULTIDISCIPLINARY;Natural Selection;NGS (Next Generation Sequencing);Non-Model Species;Open Data;Open Science;Phenotype;Plasticity;Population Genetics;R Programming;SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Serious Game;Speciation;Transcriptomics;Tropical Rain Forest;UMR AMAP (Botany Model. Plant Architect. Veget.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manuela CAPELLO; Acoustics (Active);Acoustics (Passive);Aggregation (Spatial);Algorithmics;Animal Community;Artificial Intelligence;Artificial Neural Network;Artisanal Fishery;Atlantic Ocean (Intertropical);Behaviour (Fish);Behaviour (Fishermen);Biodiversity;Biodiversity (Anthropogenic Influence);Biodiversity (Conservation);Biodiversity (Hotspot);Biodiversity (Marine);Biology (Computational);Biology (Marine);Biomass (Ocean);Biostatistics;Bycatch And Discard (Fisheries);Capacity Building;Catchability;Central East Atlantic Ocean;Chlorophyll;Climate Adaptation;Climate Change Impacts;Collective Behaviour;Complex System;Computer Science;Conservation Biology;Data (Acoustics);Data (Environmental, Socio-Ecological);Data (Fisheries);Data (Multisource);Data (Qualitative);Data (Satellite);Data Analysis;Data Assimilation;Data Collection;Data Curation;Data Dissemination;Data Driven Approach;Data Heterogeneity;Data Integration;Data Interoperability;Data Management;Data Management Plan;Data Mining;Data Poor Context;Data Preprocessing;Data Processing;Data Quality Assessment;Data Reanalysis;DATA SCIENCE;Data Sharing;Decision Support Tool;Differential Equation;Dynamical System;EAF (Ecosystem Approach To Fisheries);Ecology (Behavioural);Ecology (Fisheries);Ecology (Marine);Ecology (Quantitative);Ecosystem (Aquatic);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Service;Elasmobranchii (Sharks And Rays);Electronic Tagging;Endangered, Threatened, Protected Species (ETP);Environment (Marine);Experimental Validation;Expertise (Scientific);FAD (Fish Aggregating Device);Fisheries Acoustics;Fisheries Management;Fisheries Resource;Fisheries Science (Fr: Halieutique);Global Change Impact;Habitat (Marine);Impact Assesment (Fisheries);Indian Ocean;Indicator (Biological);Indicator (Environmental);Indicator (Socio-Environmental);Indonesia;Ivory Coast;Machine - Deep Learning;Maldives;Mitigation Measure;Model (Agent-Based);Model (Individual-Based);Model (Mathematical);Model (Numerical);Model (Operational);Model (Spatially Explicit);MODELLING;Modelling (Behaviour);Modelling (Complex System);Modelling (Ecological);Modelling (Habitat, Ecology);Modelling (Stochastic Processes);Mozambique Channel;Multi-Agent System;Multi-Scale (Spatial And Temporal);Natural Resource Management;Non Linear Dynamics;Observers Program (Fisheries);Pelagic Fish;Population Dynamics;Purse Seine Fishery;Quantum Mechanics;R Programming;Random Decision Forest;Remote Sensing;RFMO (Regional Fisheries Management Organisation);SDG 14 (Sust. Devel. Goal - Oceans);Selectivity (Fishing Gear);Simulation;Simulation (Monte-Carlo);South Western Indian Ocean;South-East Asia;Spatial Dynamics;Statistical Mechanics;Stock Assessment;Sustainability (Fisheries);Sustainability Science;Sustainable Management;Tuna Fisheries;Ultrasonic Telemetry;UMR MARBEC (MAR. Biodiv. Exploit. Conserv.);Vulnerability
Sylvain FERRANT; Agriculture;Data (Satellite);Data Assimilation;Data Mining;Data Preprocessing;Data Processing;Data Quality Assessment;DATA SCIENCE;Forecasting;Geomatics;Hydrology;Hydrosystem;Integrative Approach;Irrigation;Land Use;Landcover;Model (Agro-Hydrological);Model (Numerical);Model (Spatially Explicit);Model Coupling;MODELLING;Modelling (Calibration);Modelling (Hyper-Resolved);Modelling (Integrated);Monitoring (Environmental);Monitoring (Hydrology);Multi-Scale (Spatial);Photogrammetry;Radar;Random Decision Forest;Remote Sensing;Remote Sensing VHSR (Very High Spatial Resolution);Satellite Product;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 06 (Sust. Devel. Goal - Water And Sanitation);South India;Spatial Agro-Hydrology;UMR CESBIO (Center For The Study Of The Biosphere From Space);Water Management;Water Resources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jean-Philippe CHIPPAUX; Benin;Bolivia;Cameroon;Chagas Disease;Clinical Research Informatics;Dracunculiasis (Guinea Worm Disease);Entomology (Medical);Envenoming;Epidemiology;Filariasis (Parasitic Disease);Integrative Approach;IRD-CSS2 (Sci. Comm. Biol. Medic. Sci.);Ivermectine (Medication);Malaria;Meningitis;Monitoring (Health);MULTIDISCIPLINARY;Niger Country;Onchocerciasis (River Blindness Disease);Prevention (Health);Public Health;Schistosomiasis (Snail Fever, Bilharzia);Sci. Administration And Management;Screening (Health);SDG 03 (Sust. Devel. Goal - Health And Well-Being);Senegal;Serpentes (Snakes);Tropical Endemics;Tropical Medicine;UMR MERIT (Mother And Child Face Tropical Infections);Venom;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicolas BEZ; Acoustics (Active);Aggregation (Spatial);Animal Community;Atlantic Ocean;Behaviour (Fishermen);Biodiversity;Biogeography;Biostatistics;Cartography And Mapping;Classification - Typology;Collective Behaviour;Data (Acoustics);Data (Fisheries);Data (Georeferenced);Data (Qualitative);Data Analysis;Data Driven Approach;Demersal Fish Species;Discretization;EAF (Ecosystem Approach To Fisheries);Echo-Integration;Ecology (Behavioural);Ecology (Fisheries);Ecology (Marine);Ecology (Niche);Ecology (Quantitative);Ecosystem (Aquatic);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Dynamics;Ecosystem Processes;Expertise (Scientific);Fisheries Acoustics;Fisheries Management;Fisheries Resource;Fisheries Science (Fr: Halieutique);Fishing Strategy Analysis;Forage Tracking;Geostatistics;Global Ocean;Graph Theory;Indian Ocean;Indicator (Biological);Indicator (Dashboard);Interpolation;Inverse Problem;Mathematics;Mediterranean Sea;Model (Mathematical);Model (Spatially Explicit);MODELLING;Modelling (Bayesian);Modelling (Habitat, Ecology);Modelling (Inferential);Modelling (Predictive);Modelling (Statistical);Modelling (Stochastic Processes);Multi-Scale (Spatial And Temporal);Multi-Scale (Spatial);MULTIDISCIPLINARY;Multivariate Data Analysis (MVA);Nonparametric Statistics;Pelagic Fish;Population Dynamics;Probability Distribution;Probability Theory;R Programming;Remote Sensing;Renewable Resource;Risk Assessment;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 14 (Sust. Devel. Goal - Oceans);SFDS (French Soc. Statistics);Simulation;Simulation (Monte-Carlo);Spatial Analysis;Spatial Dynamics;Statistics;Statistics (Spatial);Stock Assessment;Time Series;Training (Fr: Formation);Tuna Fisheries;UMR MARBEC (MAR. Biodiv. Exploit. Conserv.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrice BREHMER; Acoustics (Active);Anthropogenic Impact;Artisanal Fishery;Atlantic Ocean (Intertropical);Behaviour (Fish);Biogeography;Biology (Marine);Biomass (Ocean);Bissau Guinea;Capacity Building;Catchability;Central East Atlantic Ocean;Climate Adaptation;Climate Change Impacts;Climate-Society Interaction;Coastal Processes;Data (Acoustics);Data (Environmental, Socio-Ecological);Data (Fisheries);Data (Multisource);Data (Optical);Data (Satellite);Data Collection;Data Management;Data Poor Context;Diel Migration (Mar. Biol.);Domestication;EAF (Ecosystem Approach To Fisheries);Echo-Integration;Ecology (Behavioural);Ecology (Fisheries);Ecology (Marine);Ecosystem (Aquatic);Ecosystem (Coastal);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Dynamics;Ecosystem Processes;Environment (Marine);Estuary;FAD (Fish Aggregating Device);Fisheries Acoustics;Fisheries Management;Fisheries Resource;Fisheries Science (Fr: Halieutique);Fishermen Community;Fishes;Governance;Habitat (Marine);Image Processing;Impact Assesment (Fisheries);Indicator (Environmental);Integrative Approach;Marine Protected Area (MPA);Mauritania Islamic Rep.;Modelling (Conceptual);Monitoring (Environmental);Monitoring (Socio-Environmental);Multibeam Sonar Detection;MULTIDISCIPLINARY;Observatory;Observers Program (Fisheries);Oceanography (Biological);Pelagic Fish;Planktonic Bloom (FR: Efflorescence);Population Dynamics;Remote Sensing;SDG 01 (Sust. Devel. Goal - Poverty);SDG 02 (Sust. Devel. Goal - Alimentation);SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);Senegal;Socio-Ecosystem;Sustainability (Fisheries);Sustainability Science;UMR LEMAR (Mar. Environ. Sci. Lab.);Upwelling;Water Quality;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jean LE FUR; Adaptive Management;Animal Community;Arid Or Semi-Arid Zone;Artisanal Fishery;Atlantic Ocean;Atlantic Ocean (Intertropical);Behaviour (Fish);Behaviour (Fishermen);Bioinformatics;Biological Invasion;Biology (Computational);Classification - Typology;Collective Behaviour;Comparative Approach;Complex System;Computer Science;Database Engineering;Demersal Fish Species;Deterministic Approach;dynamical System;EAF (Ecosystem Approach To Fisheries);Ecology (Fisheries);Ecology (Landscape);Ecology (Marine);Ecology (Quantitative);Ecology (Terrestrial);ecosystem (Aquatic);ecosystem (Marine);ecosystem (Tropical Pelagic);ecosystem Dynamics;ecosystem Processes;environment;environment (Marine);Epidemiology;fisheries Management;fisheries Resource;Fisheries Science (Fr: Halieutique);fishermen Community;Guinea Rep.;indicator (Biological);information Processing;information System;integrative Approach;knowledge Representation;landcover;landscape;model (Agent-Based);model (End-To-End);model (Nested);model (Numerical);model (Spatially Explicit);model Coupling;MODELLING;modelling (Behaviour);modelling (Complex System);modelling (Ecological);modelling (Epidemics);Modelling (Habitat_Ecology);modelling (Integrated);modelling (Interdisciplinary);modelling (Multi-Scale);modelling (Validation);multi-Agent System;multi-Scale (Functional);multi-Scale (Spatial And Temporal);multi-Scale (Spatial);multi-Scale (Temporal And Functional);MULTIDISCIPLINARY;Myomorpha (Mice, Rats,Etc.);non Linear Dynamics;observatory;OneHealth - EcoHealth;open Source;pelagic Fish;population Dynamics;quality Assurance (ISO 9001 Standard);renewable Resource;resource Use;Sahel;SDG 04 (Sust. Devel. Goal - Education);SDG 14 (Sust. Devel. Goal - Oceans);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Senegal;simulation;simulation (Social);socio-Ecological Scenario;software Engineering;sustainability (Fisheries);systemic Approach;Systems Science;training (Fr: Formation);UMR CBGP (Biol. Manag. Pop.);UMR Entropie (Tropic. Mar. Ecol. Pacific Indian Oceans);upwelling;Web Portal Devel.;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cécile DUPOUY; Abstraction Algorithmics;Archipelago;Atmosphere;Biochemistry;Biomass (Ocean);Capacity Building;Carbon Cycle;Cartography And Mapping;Chlorophyll;Climate Adaptation;Climate Change Impacts;Climate-Society Interaction;Coastal Processes;Colored Dissolved Organic Matter (CDOM);Computer Science;Coral Reef;Cyanobacteria;Data (Optical);Data (Satellite);Data Analysis;Data Processing;Database Engineering;Diazotrophy (Nitrogen Fixation);Ecology (Marine);Ecosystem (Lagoon Or Reef);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Dynamics;Environment (Island);Environment (Marine);Fiji Islands;Image Processing;Indicator (Biological);Integrative Approach;Island Country;Lagoon;Multi-Spectral Image;New Caledonia;Observatory;Ocean Water Colour;Oceanography (Biological);Organic Matter;Plankton;Plankton (Phyto);Planktonic Bloom (FR: Efflorescence);Remote Sensing;Research Cruise;Satellite Product;SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);South Western Tropical Pacific Ocean;Spatial Analysis;Spectro-Fluorescence;Spectrofluorimetry;Statistics (Spatial);Trichodesmium (Cyanobacteria);Turbidity;UMR MIO (Mediter. Inst. Oceanogr.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monique SIMIER; Artisanal Fishery;Atlantic Ocean;Atlantic Ocean (Intertropical);Behaviour (Fish);Biodiversity;Biodiversity (Anthropogenic Influence);Biodiversity (Conservation);Biodiversity (Functional);Biodiversity (Marine);Biology (Marine);Biometrics;Biostatistics;Bissau Guinea;Central East Atlantic Ocean;Classification - Typology;Climate Change Impacts;Computer Graphics;Computer Science;Data Analysis;Data Clustering;Data Processing;Database Engineering;Ecology (Fisheries);Ecology (Marine);Ecology (Quantitative);Ecology (Trophic);Ecosystem (Aquatic);Ecosystem (Coastal);Ecosystem (Lagoon Or Reef);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Estuary;FAD (Fish Aggregating Device);Fisheries Management;Fisheries Science (Fr: Halieutique);Fishes;Habitat (Marine);Indian Ocean;Indicator (Biological);Indicator (Environmental);IT System Management;Lagoon;Mangrove;Marine Protected Area (MPA);Mediterranean Sea;Model GLM (General Linearized Model);Modelling (Statistical);Multivariate Data Analysis (MVA);Nonparametric Statistics;Nordeste (Brazil);Oceanography (Biological);Pelagic Fish;Plankton;Plankton (Phyto);R Programming;SDG 04 (Sust. Devel. Goal - Education);SDG 14 (Sust. Devel. Goal - Oceans);Senegal;SFDS (French Soc. Statistics);South Western Indian Ocean;Statistics;Training (Fr: Formation);Tuna Fisheries;UMR MARBEC (MAR. Biodiv. Exploit. Conserv.);West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olivier ROCHE; Andes;avalanche (volcanism);caldera formation;Chile;data (acoustics);data analysis;density current (pyroclastic);dimensional analysis;Ecuador;erosion;experimental device;explosive eruption;extreme event;fluidization;Geophysics;Geoscience;granular flow (volcanism);magma reservoir;model (flow propagation);model (numerical);model (physical scale);model (two-phase flow);MODELLING;modelling (predictive);Peru;Physics;pore fluid pressure;pyroclastic flow;risk (seismic - telluric);risk assessment;SDG 11 (Sust. Devel. Goal - Cities);simulation;tsunami;UMR LMV (Lab. Magmas & Volcanoes);volcanic ash fall;volcanic hazard;volcanic plume;volcanic supereruption;volcanism (eruptive);Volcanology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Christophe PROISY; Amazon Forest;Brazil;Climate Change Impacts;Coastal Processes;Conservation Biology;Ecology (Forest);Ecology (Terrestrial);Ecosystem Dynamics;Ecosystem Processes;Environment;Estuary;Forest Dynamics;French Guiana;Ichthyop (Software);Image Processing;Impact Assesment (Environment);India;Indonesia;Lidar (Laser Aerial Imaging);Mangrove;MODELLING;Modelling (Multi-Scale);Modelling (Physics);Monitoring (Environmental);Multi-Scale (Spatial);Oceanography;Radar;Remote Sensing;Remote Sensing VHSR (Very High Spatial Resolution);River;SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);South-East Asia;Spatial Dynamics;Tropical Rain Forest;UMR AMAP (Botany Model. Plant Architect. Veget.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
François SABOT; African Rice;Agriculture;Algorithmics;Benin;Big Data;Biodiversity;Bioinformatics;Biology (Computational);Biology (Evolutionary);Capacity Building;Comparative Approach;Data Analysis;Data Mining;DNA Sequencing;Domestication;Evolutionary History (Plants);Genetics;Genome Diversification;Genome Sequencing;Genomics;Genomics (Evolutive);Genomics (Structural);Graph Theory;High Performance Computing (HPC);Metadata;Molecular Biology;NGS (Next Generation Sequencing);Open Data;Open Science;Open Source;Pan-Genomics;Parallel And Distributed Computing;Population Genetics;Retrotransposon;Rice;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 04 (Sust. Devel. Goal - Education);Senegal;Software Engineering;Speciation;Training (Fr: Formation);UMR Diade (Plant DIversity Adapt. & DEv.);Vietnam;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pauline GLUSKI; Atlas Edition;Cartography And Mapping;Colombia;Data (Georeferenced);Data Analysis;Data Collection;Data Management;DATA SCIENCE;Database Engineering;Environment;Geographic Information Science;Geography (Social);Geomatics;Geovisualisation;GIS (Geogr. Inform. Sys.);Impact Assesment (Environment);Information System;Monitoring (Socio-Environmental);Popularization (Fr: Vulgarisation);Risk (Environmental);Sci. Administration And Management;SDG 03 (Sust. Devel. Goal - Health And Well-Being);SDG 04 (Sust. Devel. Goal - Education);SDG 11 (Sust. Devel. Goal - Cities);SDG 12 (Sust. Devel. Goal - Consumption And Production);SDG 16 (Sust. Devel. Goal - Society);Senegal;Social Representation;South America;Spatial Analysis;Spatial Dynamics;Statistics (Spatial);Training (Fr: Formation);UMR PRODIG (Res. Cent. For Geog. Inf. Organ. Dissemin.);Vulnerability;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
