[[[[[[[Marie-Paule BONNET]]]]]]];ADAPTIVE MANAGEMENT;ALTIPLANO (BOLIVIA);AMAZON PLAIN;AMAZON RIVER;BIODIVERSITY;BIOGEOCHEMISTRY;BISSAU GUINEA;BRAZIL;CARBON CYCLE;CLIMATE ADAPTATION;COLLECTIVE LEARNING;CONSERVATION PLANNING;CONSTRAINT PROGRAMMING;CONTROL AND PREVENTION STRATEGY;DAM (HYDROLOGY);DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (SATELLITE);DATA HETEROGENEITY;DECISION SUPPORT TOOL;ECOSYSTEM (AQUATIC);ENVIRONMENT-SOCIETY RELATIONS;FLOOD (FR: CRUE/INONDATION);FLOODPLAIN;FORECASTING;GEOMATICS;GIS (GEOGR. INFORM. SYS.);GLOBAL CHANGE IMPACT;HYDROLOGICAL BASIN;HYDROLOGICAL MONITORING SYSTEM;HYDROLOGY;HYDROSYSTEM;INDICATOR (SOCIO-ENVIRONMENTAL);LAKE;LIMNOLOGY;MODEL (AGENT-BASED);MODEL (HYBRID);MODEL (NUMERICAL);MODEL DEM (DIGITAL ELEVATION MODEL);MODELLING;MODELLING (COMPANION);MODELLING (CONCEPTUAL);MODELLING (HYDRODYNAMICS);MONITORING (HYDROLOGY);MONITORING (SOCIO-ENVIRONMENTAL);MULTI-AGENT SYSTEM;MULTI-SCALE (SPATIAL);MULTIDISCIPLINARY;NATURAL RESOURCE MANAGEMENT;PARTICIPATORY MAPPING;PLANKTON;PLANKTON (PHYTO);RADAR ALTIMETRY;REMOTE SENSING;RENEWABLE RESOURCE;RESOURCE USE;SCI. ADMINISTRATION AND MANAGEMENT;SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 06 (SUST. DEVEL. GOAL - WATER AND SANITATION);SDG 10 (SUST. DEVEL. GOAL - WORLD EQUITY);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 15 (SUST. DEVEL. GOAL - TERRESTRIAL ECOSYSTEMS);SIMULATION (WATER FLOW);SUSTAINABILITY SCIENCE;SUSTAINABLE MANAGEMENT;UMR ESPACE-DEV (SPACE FOR DEVEL.);WATER RESOURCES;WATERSHED (FR: BASSIN VERSANT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Emmanuel ROUX]]]]]]];AGGREGATION (SPATIAL);AMAZON FOREST;BIG DATA;BIOSTATISTICS;BRAZIL;CARTOGRAPHY AND MAPPING;CLASSIFICATION - TYPOLOGY;COMPUTER SCIENCE;CROSS-BORDER APPROACH;DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (HEALTHCARE);DATA (MULTIMODAL);DATA (MULTISOURCE);DATA (SATELLITE);DATA ANALYSIS;DATA CLUSTERING;DATA CURATION;DATA DISSEMINATION;DATA HETEROGENEITY;DATA INTEGRATION;DATA INTEROPERABILITY;DATA MANAGEMENT;DATA MINING;DATA POOR CONTEXT;DATA PREPROCESSING;DATA PROCESSING;DATA QUALITY ASSESSMENT;DATA SCIENCE;DENGUE FEVER;DISEASE INCIDENCE (EPIDEMIOLOGY);ENVIRONMENTAL HEALTH;EPIDEMIOLOGY;EXPLAINABLE AI;FAIR (FIND, ACCESS, INTEROPERATE, REUSE) DATA;FRENCH GUIANA;GEOGRAPHIC INFORMATION SCIENCE;GEOGRAPHY (HEALTH);GEOLOCATION;GEOMATICS;GIS (GEOGR. INFORM. SYS.);HEALTH POLICY;INDICATOR (BIOLOGICAL);INDICATOR (DASHBOARD);INDICATOR (ENVIRONMENTAL);INDICATOR (HEALTH);INFECTIOUS DISEASE;INFORMATION PROCESSING;INFORMATION SYSTEM;INFORMATION TECHNOLOGY (IT);INTEROPERABILITY;MACHINE LEARNING (STRUCTURAL);MALARIA;MODEL (SPATIALLY EXPLICIT);MODELLING;MODELLING (HABITAT/ECOLOGY);MODELLING (MULTI-SCALE);MODELLING (STATISTICAL);MONITORING (HEALTH);MULTI-SCALE (SPATIAL AND TEMPORAL);MULTI-SCALE (SPATIAL);MULTIDISCIPLINARY;MULTIVARIATE DATA ANALYSIS (MVA);OBSERVATORY;ONEHEALTH - ECOHEALTH;OPEN DATA;OPEN SCIENCE;OPEN SOURCE;PUBLIC HEALTH;R (PROGRAMMING LANGUAGE);RADAR ALTIMETRY;REMOTE SENSING;RISK (HEALTH);SDG 03 (SUST. DEVEL. GOAL - HEALTH AND WELL-BEING);SDG 10 (SUST. DEVEL. GOAL - WORLD EQUITY);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SOUTH AMERICA;SPATIAL ANALYSIS;SPATIAL DYNAMICS;STATISTICS;STATISTICS (SPATIAL);SURVEY (DESIGN);TERRITORY;TRAINING (FR: FORMATION);UMR ESPACE-DEV (SPACE FOR DEVEL.);VECTOR-BORNE DISEASE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Thibault CATRY]]]]]]];ALGORITHMICS;AMAZON PLAIN;BRAZIL;CARTOGRAPHY AND MAPPING;CLIMATE CHANGE IMPACTS;COASTAL PROCESSES;DATA (MULTIMODAL);DATA (MULTISOURCE);DATA (SATELLITE);DATA ANALYSIS;DATA INTEGRATION;DATA PROCESSING;DATA SCIENCE;DECISION SUPPORT TOOL;DEFORESTATION;DENGUE FEVER;ECOSYSTEM SERVICE;ENVIRONMENT-SOCIETY RELATIONS;ENVIRONMENTAL HEALTH;EXTREME EVENT;FLOOD (FR: CRUE/INONDATION);FLOODPLAIN;FRENCH GUIANA;GEOMATICS;GEOSCIENCE;HURRICANE;IMPACT ASSESSMENT (HEALTH);INDIAN OCEAN;INDICATOR (ENVIRONMENTAL);INDICATOR (HEALTH);INDICATOR (SOCIO-ENVIRONMENTAL);MADAGASCAR;MALARIA;MANGROVE;MARINE PROTECTED AREA (MPA);MONITORING (ENVIRONMENTAL);MULTI-SCALE (SPATIAL);MULTI-SENSOR APPROACH;NATURAL HAZARD;RADAR;REMOTE SENSING;RISK (ENVIRONMENTAL);RISK ASSESSMENT;SDG 03 (SUST. DEVEL. GOAL - HEALTH AND WELL-BEING);SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 11 (SUST. DEVEL. GOAL - CITIES);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 15 (SUST. DEVEL. GOAL - TERRESTRIAL ECOSYSTEMS);SENSOR OBSERVATION SERVICE;SOCIO-ECOSYSTEM;THE REUNION ISLAND;THEIA (DATA SERVICES INFRASTR. LAND SURFACES);TRAINING (FR: FORMATION);UMR ESPACE-DEV (SPACE FOR DEVEL.);VECTOR-BORNE DISEASE;VOLCANOLOGY;WETLAND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Laure BERTI EQUILLE]]]]]]];ALGORITHMICS;ARTIFICIAL INTELLIGENCE;AUTOMATIC LEARNING;BIG DATA;BIODIVERSITY;CARTOGRAPHY AND MAPPING;CLASSIFICATION;TYPOLOGY;COMPUTER SCIENCE;CYBERSECURITY;DATA (HEALTHCARE);DATA (MULTIMODAL);DATA (MULTISOURCE);DATA (QUALITATIVE);DATA (SATELLITE);DATA ANALYSIS;DATA ASSIMILATION;DATA CLEANING;DATA CLUSTERING;DATA CODING;DATA COLLECTION;DATA CURATION;DATA DISCOVERY;DATA DISSEMINATION;DATA FUSION;DATA GLITCH DETECTION (FR: DÉTECTION D'ANOMALIES);DATA INTEGRATION;DATA INTEROPERABILITY;DATA MANAGEMENT;DATA MINING;DATA PREPROCESSING;DATA PROCESSING;DATA QUALITY ASSESSMENT;DATA SCIENCE;DATA WAREHOUSE;DATABASE MANAGEMENT SYSTEM (DBMS);DECISION SUPPORT TOOL;DEVELOPMENT (SOFTWARE);E-LEARNING;EPIDEMIOLOGY;EXPERTISE (ENGINEERING);FACT CHECKING;FAIR (FIND, ACCESS, INTEROPERATE, REUSE) DATA;FORECASTING;IMPACT ASSESSMENT (WATER);INDICATOR (BIOLOGICAL);INDICATOR (ENVIRONMENTAL);KNOWLEDGE DISCOVERY;MACHINE;DEEP LEARNING;METADATA;MODELLING;MODELLING (BAYESIAN);MODELLING (CALIBRATION);MODELLING (CONCEPTUAL);MODELLING (HUMAN-IN-THE-LOOP);MODELLING (INTERDISCIPLINARY);MODELLING (MULTI-SCALE);MODELLING (PREDICTIVE);MULTI-SCALE (SPATIAL AND TEMPORAL);MULTIDISCIPLINARY;OPEN SCIENCE;OPEN SOURCE;PATENT FILING (FR: DÉPOT DE BREVET);PATTERN RECOGNITION;POVERTY;PUBLIC HEALTH;Q-LEARNING;REINFORCEMENT LEARNING;REMOTE SENSING;RISK ASSESSMENT;SDG 01 (SUST. DEVEL. GOAL - POVERTY);SDG 06 (SUST. DEVEL. GOAL - WATER AND SANITATION);SDG 11 (SUST. DEVEL. GOAL - CITIES);SDG 16 (SUST. DEVEL. GOAL - SOCIETY);STATISTICS;SYMBOLIC LEARNING;TECHNOLOGY INTELLIGENCE (FR: VEILLE TECHNOL.);TRAINING (FR: FORMATION);TRUTH DISCOVERY;UMR ESPACE-DEV (SPACE FOR DEVEL.);URBAN COMPUTING;USA (NEW JERSEY);WATER QUALITY;WEB OF DATA;WEB SCRAPING;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Christian DEPRAETERE]]]]]]];ARCHIPELAGO;BENIN;BIODIVERSITY;BIODIVERSITY (ISLAND);CARTOGRAPHY AND MAPPING;CLIMATE CHANGE IMPACTS;DATA (HYDROLOGICAL);DATA COLLECTION;ENVIRONMENT (ISLAND);FRAGMENTATION;GEOGRAPHY (ISLAND);GEOHISTORY;GEOMATICS;GEOMORPHOMETRY (HYDRO);GEOSCIENCE;GIS (GEOG. INF. SYS.);HYDROCLIMATOLOGY;HYDROLOGY;HYDROMETEOROLOGY;IMPACT ASSESSMENT (WATER);INDICATOR (ENVIRONMENTAL);ISLAND COUNTRY;KWAZULU-NATAL (SOUTH AFRICA);LANDSCAPE;MADAGASCAR;MODEL DEM (DIGITAL ELEVATION MODEL);MODELLING (HYDROLOGICAL);MULTI-SCALE (SPATIAL);NISSOLOGY (ISLAND SCIENCE);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SIMULATION (WATER FLOW);SOUTH AFRICA;UMR ESPACE-DEV (SPACE FOR DEVEL.);UMR LTHE (HYDROL. ENVIRON. TRANSFERS);WATER MANAGEMENT;WATER RESOURCES;WATERSHED;WORLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Rodolphe DEVILLERS]]]]]]];ARTISANAL FISHERY;BIODIVERSITY;BIODIVERSITY (CONSERVATION);BIODIVERSITY (MARINE);CARTOGRAPHY AND MAPPING;COLD-WATER CORAL;COMOROS;CONSERVATION BIOLOGY;CONSERVATION PLANNING;CORAL REEF;CROWDSOURCING;DATA (ACOUSTICS);DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (FISHERIES);DATA (GEOREFERENCED);DATA (SATELLITE);DATA MANAGEMENT;DATA MINING;DATA QUALITY ASSESSMENT;DECISION SUPPORT TOOL;EAST AFRICA;ECOLOGY (LANDSCAPE);ECOLOGY (MARINE);ECOSYSTEM (MARINE);ENVIRONMENT (MARINE);EXPERTISE (SCIENTIFIC);FISHERIES MANAGEMENT;FISHERIES SCIENCE (FR: HALIEUTIQUE);GEOGRAPHIC INFORMATION SCIENCE;GEOMATICS;GEOSTATISTICS;GEOVISUALISATION;GIS (GEOGR. INFORM. SYS.);HABITAT (MARINE);IMAGE PROCESSING;INDIAN OCEAN;INDICATOR (ENVIRONMENTAL);INFORMATION PROCESSING;LANDSCAPE;MADAGASCAR;MARINE PROTECTED AREA (MPA);MAYOTTE;METADATA;MODELLING;MODELLING (HABITAT, ECOLOGY);MODELLING (PREDICTIVE);MOZAMBIQUE CHANNEL;MULTI-SCALE (SPATIAL);MULTIBEAM SONAR DETECTION;MULTIDISCIPLINARY;NEWFOUNDLAND AND LABRADOR (CANADA);NORTH ATLANTIC OCEAN;ONTOLOGY;OPEN DATA;PARTICIPATORY MAPPING;PHOTOGRAMMETRY;REMOTE SENSING;REMOTE SENSING VHSR (VERY HIGH SPATIAL RESOLUTION);SATELLITE PRODUCT;SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 14 (SUST. DEVEL. GOAL - OCEANS);SOCIO-ECOSYSTEM;SONAR;SOUTH WESTERN INDIAN OCEAN;SPATIAL ANALYSIS;SPATIAL DATA INFRASTRUCTURE (SDI);SPATIAL DATA QUALITY;SPATIAL DYNAMICS;STATISTICS (SPATIAL);SUSTAINABILITY (FISHERIES);SUSTAINABILITY SCIENCE;TANZANIA;THE REUNION ISLAND;TRAINING (FR: FORMATION);UAV (UNMANNED AERIAL VEHICLE, DRONE);UMR ESPACE-DEV (SPACE FOR DEVEL.);VOLUNTEERED GEOGRAPHIC INFORMATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Jean-Christophe DESCONNETS]]]]]]];BIG DATA;CLIMATE CHANGE IMPACTS;COMPUTER SCIENCE;DATA COLLECTION;DATA CONSERVATION;DATA DISSEMINATION;DATA INFRASTRUCTURE;DATA INTEROPERABILITY;DATA MANAGEMENT;DATA PROCESSING;DATA QUALITY ASSESSMENT;DATA SHARING;DATABASE ENGINEERING;DATABASE MANAGEMENT SYSTEM (DBMS);DESERTIFICATION;DEVELOPMENT (SOFTWARE ARCHITECTURE);ENVIRONMENT;GEOMATICS;GIS (GEOGR. INFORM. SYS.);HYDROLOGY;HYDROSYSTEM;INFORMATION SYSTEM;INFORMATION TECHNOLOGY (IT);INTEROPERABILITY;IT SYSTEM MANAGEMENT;METADATA;MODELLING;MODELLING (HYDROLOGICAL);MODELLING (METADATA);MULTIDISCIPLINARY;NIGER COUNTRY;OBSERVATORY;ON-DEMAND SERVICE;OPEN SCIENCE;OPEN SOURCE;REMOTE SENSING;SAHEL;SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 15 (SUST. DEVEL. GOAL - TERRESTRIAL ECOSYSTEMS);SEMANTIC WEB;TECHNOLOGY TRANSFER;THEIA (DATA SERVICES INFRASTR. LAND SURFACES);TRAINING (FR: FORMATION);UMR ESPACE-DEV (SPACE FOR DEVEL.);WATER RESOURCES;WEB PORTAL DEVEL.;WEST AFRICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Nadine DESSAY]]]]]]];BRAZIL;CAPACITY BUILDING;CLIMATE CHANGE IMPACTS;CLIMATE-SOCIETY INTERACTION;DATA (ENVIRONMENTAL, SOCIO-ECOLOGICAL);DATA (SATELLITE);DATA ANALYSIS;DATA DISSEMINATION;DATA INFRASTRUCTURE;DATA INTEGRATION;DATA INTEROPERABILITY;DATA MANAGEMENT;DATA PROCESSING;DECISION SUPPORT TOOL;DENGUE FEVER;ECOLOGY (LANDSCAPE);ENVIRONMENT;ENVIRONMENT-SOCIETY RELATIONS;FRENCH GUIANA;GEOGRAPHIC INFORMATION SCIENCE;GEOGRAPHY (HEALTH);GEOMATICS;GIS (GEOGR. INFORM. SYS.);GLOBAL CHANGE IMPACT;IMPACT ASSESMENT (ENVIRONMENT);INDICATOR (ENVIRONMENTAL);INFECTIOUS DISEASE;INTEGRATIVE APPROACH;IT PROJECT MANAGEMENT;LAND SURFACES;LAND USE;LANDSCAPE;MACHINE;DEEP LEARNING;MALARIA;MALI;MONITORING (SOCIO-ENVIRONMENTAL);MULTI-SCALE (SPATIAL AND TEMPORAL);MULTIDISCIPLINARY;OBSERVATORY;OPERATIONAL ENGINEERING;RADAR;RADAR ALTIMETRY;REMOTE SENSING;RISK (ENVIRONMENTAL);RISK (HEALTH);SCI. ADMINISTRATION AND MANAGEMENT;SDG 03 (SUST. DEVEL. GOAL - HEALTH AND WELL-BEING);SDG 04 (SUST. DEVEL. GOAL - EDUCATION);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SENSOR OBSERVATION SERVICE;SOCIO-ECOSYSTEM;SPATIAL DATA INFRASTRUCTURE (SDI);THEIA (DATA SERVICES INFRASTR. LAND SURFACES);TRAINING (FR: FORMATION);UMR ESPACE-DEV (SPACE FOR DEVEL.);VECTOR-BORNE DISEASE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Maud LOIREAU]]]]]]];AGRICULTURE;AGRO-ECOLOGY;AGRO-FORESTRY;AGRO-SYSTEM;ARID ZONE;CIRCUM-SAHARA;CLIMATE CHANGE IMPACTS;COMPLEX SYSTEM;CONCEPTUAL MODELLING;DESERTIFICATION;EROSION;FARMING PRACTICE;GENDER;GEOGRAPHY (SOCIAL);INFORMATION SYSTEM;INTEGRATED MODELLING;INTEGRATIVE APPROACH;LAND DEGRADATION;LAND USE;LANDCOVER;LANDSCAPE;MAGHREB;MODELLING;MONITORING (SOCIO-ENVIRONMENTAL);MULTIDISCIPLINARY;OBSERVATORY;RISK ASSESSMENT;RURAL ZONE;SAHEL;SDG 02 (SUST. DEVEL. GOAL - ALIMENTATION);SDG 10 (SUST. DEVEL. GOAL - WORLD EQUITY);SDG 15 (SUST. DEVEL. GOAL - CONTINENTAL ECOSYSTEMS);SOCIO-ECOLOGICAL SCENARIOS;SOUTHERN MEDITERRANEAN;SPATIAL DYNAMICS;SYSTEMS SCIENCE;TERRITORY;TOURISM DEVELOPMENT;UMR ESPACE-DEV (SPACE FOR DEVEL.);WEST AFRICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Frederic SATGE]]]]]]];ALTIPLANO (BOLIVIA);ANDEAN PLATEAU;ANTHROPOCENE (EPOCH);ANTHROPOGENIC IMPACT;ARID/SEMI-ARID ZONE;BOLIVIA;BRAZIL;DATABASE ENGINEERING;DESERTIFICATION;DIGITAL ELEVATION MODEL (DEM);HYDROLOGICAL MONITORING SYSTEM;HYDROLOGY;IRRIGATION;MODELLING;MODELLING (CONCEPTUAL);MODELLING (HYDROLOGICAL);MULTI-SENSOR APPROACH;MULTI-SPECTRAL IMAGE;PAKISTAN;REMOTE SENSING;SATELLITE RAINFALL PRODUCT;SDG 06 (SUST. DEVEL. GOAL - WATER AND SANITATION);SOCIO-HYDROLOGY;UMR ESPACE-DEV (SPACE FOR DEVEL.);WATER RESOURCES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[[[[[[[Renaud HOSTACHE]]]]]]];ADAPTIVE MANAGEMENT;ALGORITHMICS;ALTIPLANO (BOLIVIA);ARID OR SEMI-ARID ZONE;BIG DATA;BOLIVIA;BRAZIL;CAMBODIA;CARTOGRAPHY AND MAPPING;CLIMATE ADAPTATION;CLIMATE CHANGE IMPACTS;CLIMATE-SOCIETY INTERACTION;CLIMATIC FORCING;CLIMATOLOGY;CLIMATOLOGY (HYDRO);DATA (GEOREFERENCED);DATA (HYDROLOGY);DATA (MISSING DATA);DATA (MULTISOURCE);DATA (SATELLITE);DATA ANALYSIS;DATA ASSIMILATION;DATA COLLECTION;DATA DRIVEN APPROACH;DATA HETEROGENEITY;DATA PROCESSING;DATA SCIENCE;DECISION SUPPORT TOOL;DEVELOPMENT (SOFTWARE ARCHITECTURE);DROUGHT;DYNAMICAL SYSTEM;ENVIRONMENT;FAIR (FIND, ACCESS, INTEROPERATE, REUSE) DATA;FLOOD (FR: CRUE OU INONDATION);FORECASTING;GEOMATICS;GEOMORPHOMETRY (HYDRO);GEOSCIENCE;GIS (GEOGR. INFORM. SYS.);HYDRAULICS;HYDROGRAPHY;HYDROLOGICAL BASIN;HYDROLOGICAL MONITORING SYSTEM;HYDROLOGY;HYDROMETRY;HYDROSYSTEM;IMAGE PROCESSING;IMPACT ASSESSMENT (HEALTH);IMPACT ASSESSMENT (WATER);INDIA;INDICATOR (ENVIRONMENTAL);INFORMATION PROCESSING;INTEGRATIVE APPROACH;INTER-TROPICAL (REGION);INTERPOLATION;LAND SURFACES;MATTER TRANSPORTATION (HYDROLOGY);MODEL (FLOW PROPAGATION);MODEL (NUMERICAL);MODEL (OPERATIONAL);MODEL COUPLING;MODEL DEM (DIGITAL ELEVATION MODEL);MODELLING;MODELLING (BAYESIAN);MODELLING (HYDRODYNAMICS);MODELLING (HYDROLOGICAL);MODELLING (MATHEMATICAL);MODELLING (MULTI-SCALE);MODELLING (STATISTICAL);MODELLING (STOCHASTIC PROCESSES);MODELLING (VALIDATION);MONITORING (ENVIRONMENTAL);MONITORING (HYDROLOGY);MONITORING NETWORK;MULTI-MODEL COUPLING (MMC);MULTI-SCALE (SPATIAL);MULTI-SPECTRAL IMAGE;MULTIDISCIPLINARY;MYANMAR (BURMA);NATURAL HAZARD;NIGER COUNTRY;OBSERVATORY;OPEN SCIENCE;OPERATIONAL RESEARCH;PARTICLE FILTER (SEQUENTIAL MONTE CARLO METHOD);PATENT FILING (FR: DÉPOT DE BREVET);RADAR;REMOTE SENSING;REMOTE SENSING VHSR (VERY HIGH SPATIAL RESOLUTION);RESOURCE USE;RISK (DISASTER);RISK (ENVIRONMENTAL);RISK (HEALTH);RISK ASSESSMENT;RIVER;SATELLITE PRODUCT;SDG 03 (SUST. DEVEL. GOAL - HEALTH AND WELL-BEING);SDG 06 (SUST. DEVEL. GOAL - WATER AND SANITATION);SDG 11 (SUST. DEVEL. GOAL - CITIES);SDG 13 (SUST. DEVEL. GOAL - CLIMATE);SDG 15 (SUST. DEVEL. GOAL - TERRESTRIAL ECOSYSTEMS);SEDIMENT TRANSPORTATION (HYDROLOGY);SIMULATION (WATER FLOW);SOCIO-ECOSYSTEM;SOCIO-HYDROLOGY;SOFTWARE ENGINEERING;SPATIAL ANALYSIS;SUSTAINABLE MANAGEMENT;SYNTHETIC-APERTURE RADAR (SAR);UMR ESPACE-DEV (SPACE FOR DEVEL.);UNCERTAINTY ASSESSMENT;WATER RESOURCES;WATERSHED (FR: BASSIN VERSANT) /
